"DATE","RGF10M1","RGF10M2","RGF10M3","RGF10M4","RGF10M5","RGF10M6","RGF10M7","RGF10M8","RGF10M9","RGF10M10","RGF10M11","RGF10M12","RGF11M1","RGF11M2","RGF11M3","RGF11M4","RGF11M5","RGF11M6","RGF11M7","RGF11M8","RGF11M9","RGF11M10","RGF11M11","RGF11M12","RGF12M1","RGF12M2","RGF12M3","RGF12M4","RGF12M5","RGF12M6","RGF12M7","RGF12M8","RGF12M9","RGF12M10","RGF12M11","RGF12M12","RGF13M1","RGF13M2","RGF13M3","RGF13M4","RGF13M5","RGF13M6","RGF13M7","RGF13M8","RGF13M9","RGF13M10","RGF13M11","RGF13M12","RGF14M1","RGF14M2","RGF14M3","RGF14M4","RGF14M5","RGF14M6","RGF14M7","RGF14M8","RGF14M9","RGF14M10","RGF14M11","RGF14M12","RGF15M1","RGF15M2","RGF15M3","RGF15M4","RGF15M5"
"1954:Q3","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9"
"1954:Q4","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.9","480.9","480.9","480.9","480.9","480.9","480.9","480.9","480.9","480.9","480.9","480.9","480.9","480.9","480.9","480.9","480.9","480.9","480.9","480.9","480.9","480.9","480.9","480.9","495.2","495.2","495.2","495.2","495.2","495.2","495.2","495.2","495.2","495.2","495.2","495.2","495.2","495.2","495.2","495.2","495.2","495.2","495.2","495.2","495.2","495.2"
"1955:Q1","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.3","469.3","469.3","469.3","469.3","469.3","469.3","469.3","469.3","469.3","469.3","469.3","469.3","469.3","469.3","469.3","469.3","469.3","469.3","469.3","469.3","469.3","469.3","469.3","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7"
"1955:Q2","458.5","458.5","458.5","458.5","458.5","458.5","458.5","458.5","458.5","458.5","458.5","458.5","458.5","458.5","458.5","458.5","458.5","458.5","458.5","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","475.5","475.5","475.5","475.5","475.5","475.5","475.5","475.5","475.5","475.5","475.5","475.5","475.5","475.5","475.5","475.5","475.5","475.5","475.5","475.5","475.5","475.5"
"1955:Q3","463.3","463.3","463.3","463.3","463.3","463.3","463.3","463.3","463.3","463.3","463.3","463.3","463.3","463.3","463.3","463.3","463.3","463.3","463.3","463.5","463.5","463.5","463.5","463.5","463.5","463.5","463.5","463.5","463.5","463.5","463.5","463.5","463.5","463.5","463.5","463.5","463.5","463.5","463.5","463.5","463.5","463.5","463.5","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4"
"1955:Q4","445.9","445.9","445.9","445.9","445.9","445.9","445.9","445.9","445.9","445.9","445.9","445.9","445.9","445.9","445.9","445.9","445.9","445.9","445.9","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4"
"1956:Q1","442.5","442.5","442.5","442.5","442.5","442.5","442.5","442.5","442.5","442.5","442.5","442.5","442.5","442.5","442.5","442.5","442.5","442.5","442.5","442.8","442.8","442.8","442.8","442.8","442.8","442.8","442.8","442.8","442.8","442.8","442.8","442.8","442.8","442.8","442.8","442.8","442.8","442.8","442.8","442.8","442.8","442.8","442.8","461.5","461.5","461.5","461.5","461.5","461.5","461.5","461.5","461.5","461.5","461.5","461.5","461.5","461.5","461.5","461.5","461.5","461.5","461.5","461.5","461.5","461.5"
"1956:Q2","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7"
"1956:Q3","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","446.1","465.2","465.2","465.2","465.2","465.2","465.2","465.2","465.2","465.2","465.2","465.2","465.2","465.2","465.2","465.2","465.2","465.2","465.2","465.2","465.2","465.2","465.2"
"1956:Q4","461.8","461.8","461.8","461.8","461.8","461.8","461.8","461.8","461.8","461.8","461.8","461.8","461.8","461.8","461.8","461.8","461.8","461.8","461.8","462.1","462.1","462.1","462.1","462.1","462.1","462.1","462.1","462.1","462.1","462.1","462.1","462.1","462.1","462.1","462.1","462.1","462.1","462.1","462.1","462.1","462.1","462.1","462.1","480.7","480.7","480.7","480.7","480.7","480.7","480.7","480.7","480.7","480.7","480.7","480.7","480.7","480.7","480.7","480.7","480.7","480.7","480.7","480.7","480.7","480.7"
"1957:Q1","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","490.4","490.4","490.4","490.4","490.4","490.4","490.4","490.4","490.4","490.4","490.4","490.4","490.4","490.4","490.4","490.4","490.4","490.4","490.4","490.4","490.4","490.4"
"1957:Q2","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","463.2","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0"
"1957:Q3","464.6","464.6","464.6","464.6","464.6","464.6","464.6","464.6","464.6","464.6","464.6","464.6","464.6","464.6","464.6","464.6","464.6","464.6","464.6","464.9","464.9","464.9","464.9","464.9","464.9","464.9","464.9","464.9","464.9","464.9","464.9","464.9","464.9","464.9","464.9","464.9","464.9","464.9","464.9","464.9","464.9","464.9","464.9","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4","486.4"
"1957:Q4","471.1","471.1","471.1","471.1","471.1","471.1","471.1","471.1","471.1","471.1","471.1","471.1","471.1","471.1","471.1","471.1","471.1","471.1","471.1","471.4","471.4","471.4","471.4","471.4","471.4","471.4","471.4","471.4","471.4","471.4","471.4","471.4","471.4","471.4","471.4","471.4","471.4","471.4","471.4","471.4","471.4","471.4","471.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4","492.4"
"1958:Q1","454.2","454.2","454.2","454.2","454.2","454.2","454.2","454.2","454.2","454.2","454.2","454.2","454.2","454.2","454.2","454.2","454.2","454.2","454.2","454.5","454.5","454.5","454.5","454.5","454.5","454.5","454.5","454.5","454.5","454.5","454.5","454.5","454.5","454.5","454.5","454.5","454.5","454.5","454.5","454.5","454.5","454.5","454.5","477.7","477.7","477.7","477.7","477.7","477.7","477.7","477.7","477.7","477.7","477.7","477.7","477.7","477.7","477.7","477.7","477.7","477.7","477.7","477.7","477.7","477.7"
