"DATE","RCON65M11","RCON65M12","RCON66M1","RCON66M2","RCON66M3","RCON66M4","RCON66M5","RCON66M6","RCON66M7","RCON66M8","RCON66M9","RCON66M10","RCON66M11","RCON66M12","RCON67M1","RCON67M2","RCON67M3","RCON67M4","RCON67M5","RCON67M6","RCON67M7","RCON67M8","RCON67M9","RCON67M10","RCON67M11","RCON67M12","RCON68M1","RCON68M2","RCON68M3","RCON68M4","RCON68M5","RCON68M6","RCON68M7","RCON68M8","RCON68M9","RCON68M10","RCON68M11","RCON68M12","RCON69M1","RCON69M2","RCON69M3","RCON69M4","RCON69M5","RCON69M6","RCON69M7","RCON69M8","RCON69M9","RCON69M10","RCON69M11","RCON69M12"
"1957:Q1","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6"
"1957:Q2","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0"
"1957:Q3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3","289.3"
"1957:Q4","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7","289.7"
"1958:Q1","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6","285.6"
"1958:Q2","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5","287.5"
"1958:Q3","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9","291.9"
"1958:Q4","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2","295.2"
"1959:Q1","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3"
"1959:Q2","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0"
"1959:Q3","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9","309.9"
"1959:Q4","310.1","310.1","310.1","310.1","310.1","310.1","310.1","310.1","310.1","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0","310.0"
"1960:Q1","313.9","313.9","313.9","313.9","313.9","313.9","313.9","313.9","313.9","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8","313.8"
"1960:Q2","317.8","317.8","317.8","317.8","317.8","317.8","317.8","317.8","317.8","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7"
