"DATE","rcong09Q3","rcong09Q4","rcong10Q1","rcong10Q2","rcong10Q3","rcong10Q4","rcong11Q1","rcong11Q2","rcong11Q3","rcong11Q4","rcong12Q1","rcong12Q2","rcong12Q3","rcong12Q4","rcong13Q1","rcong13Q2","rcong13Q3","rcong13Q4","rcong14Q1","rcong14Q2","rcong14Q3","rcong14Q4","rcong15Q1","rcong15Q2"
"1968:Q2","865.9","865.9","865.9","865.9","865.9","865.9","865.9","865.9","865.2","865.2","865.2","865.2","865.2","865.2","865.2","865.2","891.4","891.4","891.4","891.4","891.4","891.4","891.4","891.4"
"1968:Q3","887.1","887.1","887.1","887.1","887.1","887.1","887.1","887.1","886.4","886.4","886.4","886.4","886.4","886.4","886.4","886.4","913.3","913.3","913.3","913.3","913.3","913.3","913.3","913.3"
"1968:Q4","885.7","885.7","885.7","885.7","885.7","885.7","885.7","885.7","885.0","885.0","885.0","885.0","885.0","885.0","885.0","885.0","911.8","911.8","911.8","911.8","911.8","911.8","911.8","911.8"
"1969:Q1","897.6","897.6","897.6","897.6","897.6","897.6","897.6","897.6","896.8","896.8","896.8","896.8","896.8","896.8","896.8","896.8","924.0","924.0","924.0","924.0","924.0","924.0","924.0","924.0"
"1969:Q2","898.3","898.3","898.3","898.3","898.3","898.3","898.3","898.3","897.4","897.4","897.4","897.4","897.4","897.4","897.4","897.4","924.7","924.7","924.7","924.7","924.7","924.7","924.7","924.7"
"1969:Q3","900.0","900.0","900.0","900.0","900.0","900.0","900.0","900.0","899.0","899.0","899.0","899.0","899.0","899.0","899.0","899.0","926.3","926.3","926.3","926.3","926.3","926.3","926.3","926.3"
"1969:Q4","903.2","903.2","903.2","903.2","903.2","903.2","903.2","903.2","902.3","902.3","902.3","902.3","902.3","902.3","902.3","902.3","929.6","929.6","929.6","929.6","929.6","929.6","929.6","929.6"
"1970:Q1","904.7","904.7","904.7","904.7","904.7","904.7","904.7","904.7","903.7","903.7","903.7","903.7","903.7","903.7","903.7","903.7","931.2","931.2","931.2","931.2","931.2","931.2","931.2","931.2"
"1970:Q2","907.3","907.3","907.3","907.3","907.3","907.3","907.3","907.3","906.3","906.3","906.3","906.3","906.3","906.3","906.3","906.3","933.8","933.8","933.8","933.8","933.8","933.8","933.8","933.8"
"1970:Q3","912.8","912.8","912.8","912.8","912.8","912.8","912.8","912.8","911.9","911.9","911.9","911.9","911.9","911.9","911.9","911.9","939.5","939.5","939.5","939.5","939.5","939.5","939.5","939.5"
"1970:Q4","902.9","902.9","902.9","902.9","902.9","902.9","902.9","902.9","902.0","902.0","902.0","902.0","902.0","902.0","902.0","902.0","929.4","929.4","929.4","929.4","929.4","929.4","929.4","929.4"
"1971:Q1","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.0","931.0","931.0","931.0","931.0","931.0","931.0","931.0","959.2","959.2","959.2","959.2","959.2","959.2","959.2","959.2"
"1971:Q2","939.6","939.6","939.6","939.6","939.6","939.6","939.6","939.6","938.6","938.6","938.6","938.6","938.6","938.6","938.6","938.6","967.1","967.1","967.1","967.1","967.1","967.1","967.1","967.1"
"1971:Q3","945.6","945.6","945.6","945.6","945.6","945.6","945.6","945.6","944.7","944.7","944.7","944.7","944.7","944.7","944.7","944.7","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3"
"1971:Q4","962.2","962.2","962.2","962.2","962.2","962.2","962.2","962.2","961.3","961.3","961.3","961.3","961.3","961.3","961.3","961.3","990.4","990.4","990.4","990.4","990.4","990.4","990.4","990.4"
"1972:Q1","971.1","971.1","971.1","971.1","971.1","971.1","971.1","971.1","970.3","970.3","970.3","970.3","970.3","970.3","970.3","970.3","999.7","999.7","999.7","999.7","999.7","999.7","999.7","999.7"
"1972:Q2","996.8","996.8","996.8","996.8","996.8","996.8","996.8","996.8","995.9","995.9","995.9","995.9","995.9","995.9","995.9","995.9","1026.1","1026.1","1026.1","1026.1","1026.1","1026.1","1026.1","1026.1"
"1972:Q3","1014.1","1014.1","1014.1","1014.1","1014.1","1014.1","1014.1","1014.1","1013.2","1013.2","1013.2","1013.2","1013.2","1013.2","1013.2","1013.2","1044.0","1044.0","1044.0","1044.0","1044.0","1044.0","1044.0","1044.0"
"1972:Q4","1043.9","1043.9","1043.9","1043.9","1043.9","1043.9","1043.9","1043.9","1043.0","1043.0","1043.0","1043.0","1043.0","1043.0","1043.0","1043.0","1074.6","1074.6","1074.6","1074.6","1074.6","1074.6","1074.6","1074.6"
"1973:Q1","1068.9","1068.9","1068.9","1068.9","1068.9","1068.9","1068.9","1068.9","1067.9","1067.9","1067.9","1067.9","1067.9","1067.9","1067.9","1067.9","1100.3","1100.3","1100.3","1100.3","1100.3","1100.3","1100.3","1100.3"
"1973:Q2","1058.8","1058.8","1058.8","1058.8","1058.8","1058.8","1058.8","1058.8","1057.6","1057.6","1057.6","1057.6","1057.6","1057.6","1057.6","1057.6","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7"
"1973:Q3","1059.2","1059.2","1059.2","1059.2","1059.2","1059.2","1059.2","1059.2","1057.9","1057.9","1057.9","1057.9","1057.9","1057.9","1057.9","1057.9","1090.0","1090.0","1090.0","1090.0","1090.0","1090.0","1090.0","1090.0"
"1973:Q4","1048.9","1048.9","1048.9","1048.9","1048.9","1048.9","1048.9","1048.9","1047.4","1047.4","1047.4","1047.4","1047.4","1047.4","1047.4","1047.4","1079.2","1079.2","1079.2","1079.2","1079.2","1079.2","1079.2","1079.2"
"1974:Q1","1031.9","1031.9","1031.9","1031.9","1031.9","1031.9","1031.9","1031.9","1030.4","1030.4","1030.4","1030.4","1030.4","1030.4","1030.4","1030.4","1061.6","1061.6","1061.6","1061.6","1061.6","1061.6","1061.6","1061.6"
"1974:Q2","1028.8","1028.8","1028.8","1028.8","1028.8","1028.8","1028.8","1028.8","1027.1","1027.1","1027.1","1027.1","1027.1","1027.1","1027.1","1027.1","1058.3","1058.3","1058.3","1058.3","1058.3","1058.3","1058.3","1058.3"
"1974:Q3","1032.0","1032.0","1032.0","1032.0","1032.0","1032.0","1032.0","1032.0","1030.4","1030.4","1030.4","1030.4","1030.4","1030.4","1030.4","1030.4","1061.7","1061.7","1061.7","1061.7","1061.7","1061.7","1061.7","1061.7"
"1974:Q4","989.9","989.9","989.9","989.9","989.9","989.9","989.9","989.9","988.6","988.6","988.6","988.6","988.6","988.6","988.6","988.6","1018.6","1018.6","1018.6","1018.6","1018.6","1018.6","1018.6","1018.6"
"1975:Q1","996.7","996.7","996.7","996.7","996.7","996.7","996.7","996.7","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","1026.0","1026.0","1026.0","1026.0","1026.0","1026.0","1026.0","1026.0"
"1975:Q2","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.0","1017.0","1017.0","1017.0","1017.0","1017.0","1017.0","1017.0","1047.9","1047.9","1047.9","1047.9","1047.9","1047.9","1047.9","1047.9"
"1975:Q3","1042.8","1042.8","1042.8","1042.8","1042.8","1042.8","1042.8","1042.8","1042.1","1042.1","1042.1","1042.1","1042.1","1042.1","1042.1","1042.1","1073.8","1073.8","1073.8","1073.8","1073.8","1073.8","1073.8","1073.8"
"1975:Q4","1049.9","1049.9","1049.9","1049.9","1049.9","1049.9","1049.9","1049.9","1049.2","1049.2","1049.2","1049.2","1049.2","1049.2","1049.2","1049.2","1081.1","1081.1","1081.1","1081.1","1081.1","1081.1","1081.1","1081.1"
"1976:Q1","1080.8","1080.8","1080.8","1080.8","1080.8","1080.8","1080.8","1080.8","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1112.7","1112.7","1112.7","1112.7","1112.7","1112.7","1112.7","1112.7"
