"DATE","ROUTPUT65M11","ROUTPUT65M12","ROUTPUT66M1","ROUTPUT66M2","ROUTPUT66M3","ROUTPUT66M4","ROUTPUT66M5","ROUTPUT66M6","ROUTPUT66M7","ROUTPUT66M8","ROUTPUT66M9","ROUTPUT66M10","ROUTPUT66M11","ROUTPUT66M12","ROUTPUT67M1","ROUTPUT67M2","ROUTPUT67M3","ROUTPUT67M4","ROUTPUT67M5","ROUTPUT67M6","ROUTPUT67M7","ROUTPUT67M8","ROUTPUT67M9","ROUTPUT67M10","ROUTPUT67M11","ROUTPUT67M12","ROUTPUT68M1","ROUTPUT68M2","ROUTPUT68M3","ROUTPUT68M4","ROUTPUT68M5","ROUTPUT68M6","ROUTPUT68M7","ROUTPUT68M8","ROUTPUT68M9","ROUTPUT68M10","ROUTPUT68M11","ROUTPUT68M12","ROUTPUT69M1","ROUTPUT69M2","ROUTPUT69M3","ROUTPUT69M4","ROUTPUT69M5","ROUTPUT69M6","ROUTPUT69M7","ROUTPUT69M8","ROUTPUT69M9","ROUTPUT69M10","ROUTPUT69M11","ROUTPUT69M12"
"1956:Q3","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5"
"1956:Q4","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3"
"1957:Q1","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4"
"1957:Q2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2"
"1957:Q3","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2"
"1957:Q4","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2"
"1958:Q1","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5"
"1958:Q2","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5","439.5"
"1958:Q3","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7","450.7"
"1958:Q4","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6","461.6"
