"DATE","P10M1","P10M2","P10M3","P10M4","P10M5","P10M6","P10M7","P10M8","P10M9","P10M10","P10M11","P10M12","P11M1","P11M2","P11M3","P11M4","P11M5","P11M6","P11M7","P11M8","P11M9","P11M10","P11M11","P11M12","P12M1","P12M2","P12M3","P12M4","P12M5","P12M6","P12M7","P12M8","P12M9","P12M10","P12M11","P12M12","P13M1","P13M2","P13M3","P13M4","P13M5","P13M6","P13M7","P13M8","P13M9","P13M10","P13M11","P13M12","P14M1","P14M2","P14M3","P14M4","P14M5","P14M6","P14M7","P14M8","P14M9","P14M10","P14M11","P14M12","P15M1","P15M2","P15M3","P15M4","P15M5"
"1982:Q1","54.43","54.43","54.43","54.43","54.43","54.43","54.43","54.43","54.43","54.43","54.43","54.43","54.43","54.43","54.43","54.43","54.43","54.43","54.43","54.477","54.477","54.477","54.477","54.477","54.477","54.477","54.477","54.477","54.477","54.477","54.477","54.477","54.477","54.477","54.477","54.477","54.477","54.477","54.477","54.477","54.477","54.477","54.477","50.657","50.657","50.657","50.657","50.657","50.657","50.657","50.657","50.657","50.657","50.657","50.657","50.652","50.652","50.652","50.652","50.652","50.652","50.652","50.652","50.652","50.652"
"1982:Q2","55.105","55.105","55.105","55.105","55.105","55.105","55.105","55.105","55.105","55.105","55.105","55.105","55.105","55.105","55.105","55.105","55.105","55.105","55.105","55.152","55.152","55.152","55.152","55.152","55.152","55.152","55.152","55.152","55.152","55.152","55.152","55.152","55.152","55.152","55.152","55.152","55.152","55.152","55.152","55.152","55.152","55.152","55.152","51.283","51.283","51.283","51.283","51.283","51.283","51.283","51.283","51.283","51.283","51.283","51.283","51.278","51.278","51.278","51.278","51.278","51.278","51.278","51.278","51.278","51.278"
"1982:Q3","55.87","55.87","55.87","55.87","55.87","55.87","55.87","55.87","55.87","55.87","55.87","55.87","55.87","55.87","55.87","55.87","55.87","55.87","55.87","55.918","55.918","55.918","55.918","55.918","55.918","55.918","55.918","55.918","55.918","55.918","55.918","55.918","55.918","55.918","55.918","55.918","55.918","55.918","55.918","55.918","55.918","55.918","55.918","52.007","52.007","52.007","52.007","52.007","52.007","52.007","52.007","52.007","52.007","52.007","52.007","52.001","52.001","52.001","52.001","52.001","52.001","52.001","52.001","52.001","52.001"
"1982:Q4","56.463","56.463","56.463","56.463","56.463","56.463","56.463","56.463","56.463","56.463","56.463","56.463","56.463","56.463","56.463","56.463","56.463","56.463","56.463","56.511","56.511","56.511","56.511","56.511","56.511","56.511","56.511","56.511","56.511","56.511","56.511","56.511","56.511","56.511","56.511","56.511","56.511","56.511","56.511","56.511","56.511","56.511","56.511","52.572","52.572","52.572","52.572","52.572","52.572","52.572","52.572","52.572","52.572","52.572","52.572","52.566","52.566","52.566","52.566","52.566","52.566","52.566","52.566","52.566","52.566"
"1983:Q1","56.946","56.946","56.946","56.946","56.946","56.946","56.946","56.946","56.946","56.946","56.946","56.946","56.946","56.946","56.946","56.946","56.946","56.946","56.946","56.995","56.995","56.995","56.995","56.995","56.995","56.995","56.995","56.995","56.995","56.995","56.995","56.995","56.995","56.995","56.995","56.995","56.995","56.995","56.995","56.995","56.995","56.995","56.995","53.018","53.018","53.018","53.018","53.018","53.018","53.018","53.018","53.018","53.018","53.018","53.018","53.013","53.013","53.013","53.013","53.013","53.013","53.013","53.013","53.013","53.013"
"1983:Q2","57.362","57.362","57.362","57.362","57.362","57.362","57.362","57.362","57.362","57.362","57.362","57.362","57.362","57.362","57.362","57.362","57.362","57.362","57.362","57.411","57.411","57.411","57.411","57.411","57.411","57.411","57.411","57.411","57.411","57.411","57.411","57.411","57.411","57.411","57.411","57.411","57.411","57.411","57.411","57.411","57.411","57.411","57.411","53.377","53.377","53.377","53.377","53.377","53.377","53.377","53.377","53.377","53.377","53.377","53.377","53.371","53.371","53.371","53.371","53.371","53.371","53.371","53.371","53.371","53.371"
"1983:Q3","57.947","57.947","57.947","57.947","57.947","57.947","57.947","57.947","57.947","57.947","57.947","57.947","57.947","57.947","57.947","57.947","57.947","57.947","57.947","57.997","57.997","57.997","57.997","57.997","57.997","57.997","57.997","57.997","57.997","57.997","57.997","57.997","57.997","57.997","57.997","57.997","57.997","57.997","57.997","57.997","57.997","57.997","57.997","53.935","53.935","53.935","53.935","53.935","53.935","53.935","53.935","53.935","53.935","53.935","53.935","53.929","53.929","53.929","53.929","53.929","53.929","53.929","53.929","53.929","53.929"
"1983:Q4","58.366","58.366","58.366","58.366","58.366","58.366","58.366","58.366","58.366","58.366","58.366","58.366","58.366","58.366","58.366","58.366","58.366","58.366","58.366","58.416","58.416","58.416","58.416","58.416","58.416","58.416","58.416","58.416","58.416","58.416","58.416","58.416","58.416","58.416","58.416","58.416","58.416","58.416","58.416","58.416","58.416","58.416","58.416","54.326","54.326","54.326","54.326","54.326","54.326","54.326","54.326","54.326","54.326","54.326","54.326","54.32","54.32","54.32","54.32","54.32","54.32","54.32","54.32","54.32","54.32"
"1984:Q1","59.091","59.091","59.091","59.091","59.091","59.091","59.091","59.091","59.091","59.091","59.091","59.091","59.091","59.091","59.091","59.091","59.091","59.091","59.091","59.141","59.141","59.141","59.141","59.141","59.141","59.141","59.141","59.141","59.141","59.141","59.141","59.141","59.141","59.141","59.141","59.141","59.141","59.141","59.141","59.141","59.141","59.141","59.141","54.89","54.89","54.89","54.89","54.89","54.89","54.89","54.89","54.89","54.89","54.89","54.89","54.885","54.885","54.885","54.885","54.885","54.885","54.885","54.885","54.885","54.885"
"1984:Q2","59.624","59.624","59.624","59.624","59.624","59.624","59.624","59.624","59.624","59.624","59.624","59.624","59.624","59.624","59.624","59.624","59.624","59.624","59.624","59.675","59.675","59.675","59.675","59.675","59.675","59.675","59.675","59.675","59.675","59.675","59.675","59.675","59.675","59.675","59.675","59.675","59.675","59.675","59.675","59.675","59.675","59.675","59.675","55.376","55.376","55.376","55.376","55.376","55.376","55.376","55.376","55.376","55.376","55.376","55.376","55.37","55.37","55.37","55.37","55.37","55.37","55.37","55.37","55.37","55.37"
