"DATE","nconhh09Q3","nconhh09Q4","nconhh10Q1","nconhh10Q2","nconhh10Q3","nconhh10Q4","nconhh11Q1","nconhh11Q2","nconhh11Q3","nconhh11Q4","nconhh12Q1","nconhh12Q2","nconhh12Q3","nconhh12Q4","nconhh13Q1","nconhh13Q2","nconhh13Q3","nconhh13Q4","nconhh14Q1","nconhh14Q2","nconhh14Q3","nconhh14Q4","nconhh15Q1","nconhh15Q2"
"1985:Q1","2594.349","2594.349","2594.349","2594.349","2594.349","2594.349","2594.349","2594.349","2594.349","2594.349","2594.349","2594.349","2594.349","2594.349","2594.349","2594.349","2597.064","2597.064","2597.064","2597.064","2597.064","2597.064","2597.064","2597.064"
"1985:Q2","2637.651","2637.651","2637.651","2637.651","2637.651","2637.651","2637.651","2637.651","2637.651","2637.651","2637.651","2637.651","2637.651","2637.651","2637.651","2637.651","2643.75","2643.75","2643.75","2643.75","2643.75","2643.75","2643.75","2643.75"
"1985:Q3","2705.084","2705.084","2705.084","2705.084","2705.084","2705.084","2705.084","2705.084","2705.084","2705.084","2705.084","2705.084","2705.084","2705.084","2705.084","2705.084","2716.474","2716.474","2716.474","2716.474","2716.474","2716.474","2716.474","2716.474"
"1985:Q4","2731.975","2731.975","2731.975","2731.975","2731.975","2731.975","2731.975","2731.975","2731.975","2731.975","2731.975","2731.975","2731.975","2731.975","2731.975","2731.975","2741.797","2741.797","2741.797","2741.797","2741.797","2741.797","2741.797","2741.797"
"1986:Q1","2773.709","2773.709","2773.709","2773.709","2773.709","2773.709","2773.709","2773.709","2773.709","2773.709","2773.709","2773.709","2773.709","2773.709","2773.709","2773.709","2783.946","2783.946","2783.946","2783.946","2783.946","2783.946","2783.946","2783.946"
"1986:Q2","2803.651","2803.651","2803.651","2803.651","2803.651","2803.651","2803.651","2803.651","2803.651","2803.651","2803.651","2803.651","2803.651","2803.651","2803.651","2803.651","2810.291","2810.291","2810.291","2810.291","2810.291","2810.291","2810.291","2810.291"
"1986:Q3","2874.616","2874.616","2874.616","2874.616","2874.616","2874.616","2874.616","2874.616","2874.616","2874.616","2874.616","2874.616","2874.616","2874.616","2874.616","2874.616","2876.482","2876.482","2876.482","2876.482","2876.482","2876.482","2876.482","2876.482"
"1986:Q4","2913.52","2913.52","2913.52","2913.52","2913.52","2913.52","2913.52","2913.52","2913.52","2913.52","2913.52","2913.52","2913.52","2913.52","2913.52","2913.52","2912.468","2912.468","2912.468","2912.468","2912.468","2912.468","2912.468","2912.468"
"1987:Q1","2947.708","2947.708","2947.708","2947.708","2947.708","2947.708","2947.708","2947.708","2947.708","2947.708","2947.708","2947.708","2947.708","2947.708","2947.708","2947.708","2943.928","2943.928","2943.928","2943.928","2943.928","2943.928","2943.928","2943.928"
"1987:Q2","3014.386","3014.386","3014.386","3014.386","3014.386","3014.386","3014.386","3014.386","3014.386","3014.386","3014.386","3014.386","3014.386","3014.386","3014.386","3014.386","3014.057","3014.057","3014.057","3014.057","3014.057","3014.057","3014.057","3014.057"
"1987:Q3","3078.964","3078.964","3078.964","3078.964","3078.964","3078.964","3078.964","3078.964","3078.964","3078.964","3078.964","3078.964","3078.964","3078.964","3078.964","3078.964","3077.106","3077.106","3077.106","3077.106","3077.106","3077.106","3077.106","3077.106"
"1987:Q4","3112.654","3112.654","3112.654","3112.654","3112.654","3112.654","3112.654","3112.654","3112.654","3112.654","3112.654","3112.654","3112.654","3112.654","3112.654","3112.654","3110.315","3110.315","3110.315","3110.315","3110.315","3110.315","3110.315","3110.315"
"1988:Q1","3189.971","3189.971","3189.971","3189.971","3189.971","3189.971","3189.971","3189.971","3189.971","3189.971","3189.971","3189.971","3189.971","3189.971","3189.971","3189.971","3188.655","3188.655","3188.655","3188.655","3188.655","3188.655","3188.655","3188.655"
"1988:Q2","3247.217","3247.217","3247.217","3247.217","3247.217","3247.217","3247.217","3247.217","3247.217","3247.217","3247.217","3247.217","3247.217","3247.217","3247.217","3247.217","3246.589","3246.589","3246.589","3246.589","3246.589","3246.589","3246.589","3246.589"
"1988:Q3","3312.319","3312.319","3312.319","3312.319","3312.319","3312.319","3312.319","3312.319","3312.319","3312.319","3312.319","3312.319","3312.319","3312.319","3312.319","3312.319","3313.83","3313.83","3313.83","3313.83","3313.83","3313.83","3313.83","3313.83"
"1988:Q4","3383.679","3383.679","3383.679","3383.679","3383.679","3383.679","3383.679","3383.679","3383.679","3383.679","3383.679","3383.679","3383.679","3383.679","3383.679","3383.679","3385.315","3385.315","3385.315","3385.315","3385.315","3385.315","3385.315","3385.315"
"1989:Q1","3438.405","3438.405","3438.405","3438.405","3438.405","3438.405","3438.405","3438.405","3438.405","3438.405","3438.405","3438.405","3438.405","3438.405","3438.405","3438.405","3440.406","3440.406","3440.406","3440.406","3440.406","3440.406","3440.406","3440.406"
"1989:Q2","3498.81","3498.81","3498.81","3498.81","3498.81","3498.81","3498.81","3498.81","3498.81","3498.81","3498.81","3498.81","3498.81","3498.81","3498.81","3498.81","3502.055","3502.055","3502.055","3502.055","3502.055","3502.055","3502.055","3502.055"
