"DATE","NOUTPUT65M11","NOUTPUT65M12","NOUTPUT66M1","NOUTPUT66M2","NOUTPUT66M3","NOUTPUT66M4","NOUTPUT66M5","NOUTPUT66M6","NOUTPUT66M7","NOUTPUT66M8","NOUTPUT66M9","NOUTPUT66M10","NOUTPUT66M11","NOUTPUT66M12","NOUTPUT67M1","NOUTPUT67M2","NOUTPUT67M3","NOUTPUT67M4","NOUTPUT67M5","NOUTPUT67M6","NOUTPUT67M7","NOUTPUT67M8","NOUTPUT67M9","NOUTPUT67M10","NOUTPUT67M11","NOUTPUT67M12","NOUTPUT68M1","NOUTPUT68M2","NOUTPUT68M3","NOUTPUT68M4","NOUTPUT68M5","NOUTPUT68M6","NOUTPUT68M7","NOUTPUT68M8","NOUTPUT68M9","NOUTPUT68M10","NOUTPUT68M11","NOUTPUT68M12","NOUTPUT69M1","NOUTPUT69M2","NOUTPUT69M3","NOUTPUT69M4","NOUTPUT69M5","NOUTPUT69M6","NOUTPUT69M7","NOUTPUT69M8","NOUTPUT69M9","NOUTPUT69M10","NOUTPUT69M11","NOUTPUT69M12"
"1955:Q1","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2"
"1955:Q2","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4"
"1955:Q3","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5","402.5"
"1955:Q4","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8"
"1956:Q1","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6","410.6"
"1956:Q2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2","416.2"
"1956:Q3","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6","420.6"
"1956:Q4","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5","429.5"
"1957:Q1","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9","436.9"
"1957:Q2","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9"
"1957:Q3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3"
"1957:Q4","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5"
"1958:Q1","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7","434.7"
"1958:Q2","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3"
"1958:Q3","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4"
"1958:Q4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4"
