"DATE","pconshh09Q3","pconshh09Q4","pconshh10Q1","pconshh10Q2","pconshh10Q3","pconshh10Q4","pconshh11Q1","pconshh11Q2","pconshh11Q3","pconshh11Q4","pconshh12Q1","pconshh12Q2","pconshh12Q3","pconshh12Q4","pconshh13Q1","pconshh13Q2","pconshh13Q3","pconshh13Q4","pconshh14Q1","pconshh14Q2","pconshh14Q3","pconshh14Q4","pconshh15Q1","pconshh15Q2"
"1950:Q2","9.583","9.583","9.583","9.583","9.583","9.583","9.583","9.583","9.582","9.582","9.582","9.582","9.582","9.582","9.582","9.582","8.864","8.864","8.864","8.864","8.864","8.864","8.864","8.864"
"1950:Q3","9.727","9.727","9.727","9.727","9.727","9.727","9.727","9.727","9.726","9.726","9.726","9.726","9.726","9.726","9.726","9.726","8.997","8.997","8.997","8.997","8.997","8.997","8.997","8.997"
"1950:Q4","9.846","9.846","9.846","9.846","9.846","9.846","9.846","9.846","9.845","9.845","9.845","9.845","9.845","9.845","9.845","9.845","9.107","9.107","9.107","9.107","9.107","9.107","9.107","9.107"
"1951:Q1","10.022","10.022","10.022","10.022","10.022","10.022","10.022","10.022","10.021","10.021","10.021","10.021","10.021","10.021","10.021","10.021","9.27","9.27","9.27","9.27","9.27","9.27","9.27","9.27"
"1951:Q2","10.093","10.093","10.093","10.093","10.093","10.093","10.093","10.093","10.092","10.092","10.092","10.092","10.092","10.092","10.092","10.092","9.336","9.336","9.336","9.336","9.336","9.336","9.336","9.336"
"1951:Q3","10.147","10.147","10.147","10.147","10.147","10.147","10.147","10.147","10.146","10.146","10.146","10.146","10.146","10.146","10.146","10.146","9.386","9.386","9.386","9.386","9.386","9.386","9.386","9.386"
"1951:Q4","10.305","10.305","10.305","10.305","10.305","10.305","10.305","10.305","10.304","10.304","10.304","10.304","10.304","10.304","10.304","10.304","9.532","9.532","9.532","9.532","9.532","9.532","9.532","9.532"
"1952:Q1","10.38","10.38","10.38","10.38","10.38","10.38","10.38","10.38","10.379","10.379","10.379","10.379","10.379","10.379","10.379","10.379","9.602","9.602","9.602","9.602","9.602","9.602","9.602","9.602"
"1952:Q2","10.466","10.466","10.466","10.466","10.466","10.466","10.466","10.466","10.466","10.466","10.466","10.466","10.466","10.466","10.466","10.466","9.681","9.681","9.681","9.681","9.682","9.682","9.682","9.682"
"1952:Q3","10.581","10.581","10.581","10.581","10.581","10.581","10.581","10.581","10.58","10.58","10.58","10.58","10.58","10.58","10.58","10.58","9.787","9.787","9.787","9.787","9.788","9.788","9.788","9.788"
"1952:Q4","10.667","10.667","10.667","10.667","10.667","10.667","10.667","10.667","10.666","10.666","10.666","10.666","10.666","10.666","10.666","10.666","9.867","9.867","9.867","9.867","9.867","9.867","9.867","9.867"
"1953:Q1","10.778","10.778","10.778","10.778","10.778","10.778","10.778","10.778","10.777","10.777","10.777","10.777","10.777","10.777","10.777","10.777","9.969","9.969","9.969","9.969","9.97","9.97","9.97","9.97"
"1953:Q2","10.862","10.862","10.862","10.862","10.862","10.862","10.862","10.862","10.861","10.861","10.861","10.861","10.861","10.861","10.861","10.861","10.047","10.047","10.047","10.047","10.048","10.048","10.048","10.048"
"1953:Q3","11.005","11.005","11.005","11.005","11.005","11.005","11.005","11.005","11.004","11.004","11.004","11.004","11.004","11.004","11.004","11.004","10.18","10.18","10.18","10.18","10.18","10.18","10.18","10.18"
"1953:Q4","11.115","11.115","11.115","11.115","11.115","11.115","11.115","11.115","11.114","11.114","11.114","11.114","11.114","11.114","11.114","11.114","10.281","10.281","10.281","10.281","10.281","10.281","10.281","10.281"
"1954:Q1","11.177","11.177","11.177","11.177","11.177","11.177","11.177","11.177","11.176","11.176","11.176","11.176","11.176","11.176","11.176","11.176","10.338","10.338","10.338","10.338","10.339","10.339","10.339","10.339"
"1954:Q2","11.199","11.199","11.199","11.199","11.199","11.199","11.199","11.199","11.198","11.198","11.198","11.198","11.198","11.198","11.198","11.198","10.359","10.359","10.359","10.359","10.359","10.359","10.359","10.359"
"1954:Q3","11.218","11.218","11.218","11.218","11.218","11.218","11.218","11.218","11.217","11.217","11.217","11.217","11.217","11.217","11.217","11.217","10.377","10.377","10.377","10.377","10.377","10.377","10.377","10.377"
"1954:Q4","11.267","11.267","11.267","11.267","11.267","11.267","11.267","11.267","11.266","11.266","11.266","11.266","11.266","11.266","11.266","11.266","10.422","10.422","10.422","10.422","10.422","10.422","10.422","10.422"
"1955:Q1","11.332","11.332","11.332","11.332","11.332","11.332","11.332","11.332","11.331","11.331","11.331","11.331","11.331","11.331","11.331","11.331","10.482","10.482","10.482","10.482","10.482","10.482","10.482","10.482"
"1955:Q2","11.373","11.373","11.373","11.373","11.373","11.373","11.373","11.373","11.372","11.372","11.372","11.372","11.372","11.372","11.372","11.372","10.52","10.52","10.52","10.52","10.52","10.52","10.52","10.52"
"1955:Q3","11.426","11.426","11.426","11.426","11.426","11.426","11.426","11.426","11.426","11.426","11.426","11.426","11.426","11.426","11.426","11.426","10.569","10.569","10.569","10.569","10.57","10.57","10.57","10.57"
"1955:Q4","11.492","11.492","11.492","11.492","11.492","11.492","11.492","11.492","11.491","11.491","11.491","11.491","11.491","11.491","11.491","11.491","10.63","10.63","10.63","10.63","10.63","10.63","10.63","10.63"
"1956:Q1","11.556","11.556","11.556","11.556","11.556","11.556","11.556","11.556","11.555","11.555","11.555","11.555","11.555","11.555","11.555","11.555","10.689","10.689","10.689","10.689","10.69","10.69","10.69","10.69"
"1956:Q2","11.623","11.623","11.623","11.623","11.623","11.623","11.623","11.623","11.622","11.622","11.622","11.622","11.622","11.622","11.622","11.622","10.751","10.751","10.751","10.751","10.751","10.751","10.751","10.751"
"1956:Q3","11.719","11.719","11.719","11.719","11.719","11.719","11.719","11.719","11.718","11.718","11.718","11.718","11.718","11.718","11.718","11.718","10.84","10.84","10.84","10.84","10.84","10.84","10.84","10.84"
"1956:Q4","11.788","11.788","11.788","11.788","11.788","11.788","11.788","11.788","11.787","11.787","11.787","11.787","11.787","11.787","11.787","11.787","10.904","10.904","10.904","10.904","10.904","10.904","10.904","10.904"
"1957:Q1","11.894","11.894","11.894","11.894","11.894","11.894","11.894","11.894","11.893","11.893","11.893","11.893","11.893","11.893","11.893","11.893","11.001","11.001","11.001","11.001","11.002","11.002","11.002","11.002"
"1957:Q2","11.949","11.949","11.949","11.949","11.949","11.949","11.949","11.949","11.948","11.948","11.948","11.948","11.948","11.948","11.948","11.948","11.052","11.052","11.052","11.052","11.052","11.052","11.052","11.052"
"1957:Q3","12.049","12.049","12.049","12.049","12.049","12.049","12.049","12.049","12.048","12.048","12.048","12.048","12.048","12.048","12.048","12.048","11.145","11.145","11.145","11.145","11.145","11.145","11.145","11.145"
"1957:Q4","12.135","12.135","12.135","12.135","12.135","12.135","12.135","12.135","12.134","12.134","12.134","12.134","12.134","12.134","12.134","12.134","11.225","11.225","11.225","11.225","11.225","11.225","11.225","11.225"
"1958:Q1","12.222","12.222","12.222","12.222","12.222","12.222","12.222","12.222","12.221","12.221","12.221","12.221","12.221","12.221","12.221","12.221","11.305","11.305","11.305","11.305","11.306","11.306","11.306","11.306"
"1958:Q2","12.266","12.266","12.266","12.266","12.266","12.266","12.266","12.266","12.265","12.265","12.265","12.265","12.265","12.265","12.265","12.265","11.346","11.346","11.346","11.346","11.346","11.346","11.346","11.346"
"1958:Q3","12.323","12.323","12.323","12.323","12.323","12.323","12.323","12.323","12.322","12.322","12.322","12.322","12.322","12.322","12.322","12.322","11.399","11.399","11.399","11.399","11.399","11.399","11.399","11.399"
"1958:Q4","12.389","12.389","12.389","12.389","12.389","12.389","12.389","12.389","12.388","12.388","12.388","12.388","12.388","12.388","12.388","12.388","11.46","11.46","11.46","11.46","11.46","11.46","11.46","11.46"
"1959:Q1","12.488","12.488","12.488","12.488","12.488","12.488","12.488","12.488","12.487","12.487","12.487","12.487","12.487","12.487","12.487","12.487","11.551","11.551","11.551","11.551","11.551","11.551","11.551","11.551"
