"DATE","RCOND10M1","RCOND10M2","RCOND10M3","RCOND10M4","RCOND10M5","RCOND10M6","RCOND10M7","RCOND10M8","RCOND10M9","RCOND10M10","RCOND10M11","RCOND10M12","RCOND11M1","RCOND11M2","RCOND11M3","RCOND11M4","RCOND11M5","RCOND11M6","RCOND11M7","RCOND11M8","RCOND11M9","RCOND11M10","RCOND11M11","RCOND11M12","RCOND12M1","RCOND12M2","RCOND12M3","RCOND12M4","RCOND12M5","RCOND12M6","RCOND12M7","RCOND12M8","RCOND12M9","RCOND12M10","RCOND12M11","RCOND12M12","RCOND13M1","RCOND13M2","RCOND13M3","RCOND13M4","RCOND13M5","RCOND13M6","RCOND13M7","RCOND13M8","RCOND13M9","RCOND13M10","RCOND13M11","RCOND13M12","RCOND14M1","RCOND14M2","RCOND14M3","RCOND14M4","RCOND14M5","RCOND14M6","RCOND14M7","RCOND14M8","RCOND14M9","RCOND14M10","RCOND14M11","RCOND14M12","RCOND15M1","RCOND15M2","RCOND15M3","RCOND15M4","RCOND15M5","RCOND15M6","RCOND15M7","RCOND15M8","RCOND15M9","RCOND15M10","RCOND15M11"
"1993:Q2","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","421.7","421.7","421.7","421.7","421.7","421.7","421.7","421.7","421.7","421.7","421.7","421.7","421.7","421.7","421.7","421.7","421.7","421.7","421.7","421.7","421.7","421.7","421.7","421.7","421.7","421.7","421.7","421.7"
"1993:Q3","459.1","459.1","459.1","459.1","459.1","459.1","459.1","459.1","459.1","459.1","459.1","459.1","459.1","459.1","459.1","459.1","459.1","459.1","459.1","458.2","458.2","458.2","458.2","458.2","458.2","458.2","458.2","458.2","458.2","458.2","458.2","458.2","458.2","458.2","458.2","458.2","458.2","458.2","458.2","458.2","458.2","458.2","458.2","426.4","426.4","426.4","426.4","426.4","426.4","426.4","426.4","426.4","426.4","426.4","426.4","426.4","426.4","426.4","426.4","426.4","426.4","426.4","426.4","426.4","426.4","426.4","426.4","426.4","426.4","426.4","426.4"
"1993:Q4","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","469.2","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6"
"1994:Q1","481.4","481.4","481.4","481.4","481.4","481.4","481.4","481.4","481.4","481.4","481.4","481.4","481.4","481.4","481.4","481.4","481.4","481.4","481.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","480.4","447.0","447.0","447.0","447.0","447.0","447.0","447.0","447.0","447.0","447.0","447.0","447.0","447.0","447.0","447.0","447.0","447.0","447.0","447.0","447.0","447.0","447.0","447.0","447.0","447.0","447.0","447.0","447.0"
"1994:Q2","486.6","486.6","486.6","486.6","486.6","486.6","486.6","486.6","486.6","486.6","486.6","486.6","486.6","486.6","486.6","486.6","486.6","486.6","486.6","485.5","485.5","485.5","485.5","485.5","485.5","485.5","485.5","485.5","485.5","485.5","485.5","485.5","485.5","485.5","485.5","485.5","485.5","485.5","485.5","485.5","485.5","485.5","485.5","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8"
"1994:Q3","491.7","491.7","491.7","491.7","491.7","491.7","491.7","491.7","491.7","491.7","491.7","491.7","491.7","491.7","491.7","491.7","491.7","491.7","491.7","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","456.6","456.6","456.6","456.6","456.6","456.6","456.6","456.6","456.6","456.6","456.6","456.6","456.6","456.6","456.6","456.6","456.6","456.6","456.6","456.6","456.6","456.6","456.6","456.6","456.6","456.6","456.6","456.6"
"1994:Q4","509.0","509.0","509.0","509.0","509.0","509.0","509.0","509.0","509.0","509.0","509.0","509.0","509.0","509.0","509.0","509.0","509.0","509.0","509.0","507.9","507.9","507.9","507.9","507.9","507.9","507.9","507.9","507.9","507.9","507.9","507.9","507.9","507.9","507.9","507.9","507.9","507.9","507.9","507.9","507.9","507.9","507.9","507.9","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7","472.7"
"1995:Q1","498.5","498.5","498.5","498.5","498.5","498.5","498.5","498.5","498.5","498.5","498.5","498.5","498.5","498.5","498.5","498.5","498.5","498.5","498.5","497.3","497.3","497.3","497.3","497.3","497.3","497.3","497.3","497.3","497.3","497.3","497.3","497.3","497.3","497.3","497.3","497.3","497.3","497.3","497.3","497.3","497.3","497.3","497.3","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9","462.9"
"1995:Q2","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","467.6","467.6","467.6","467.6","467.6","467.6","467.6","467.6","467.6","467.6","467.6","467.6","467.6","467.6","467.6","467.6","467.6","467.6","467.6","467.6","467.6","467.6","467.6","467.6","467.6","467.6","467.6","467.6"
"1995:Q3","517.8","517.8","517.8","517.8","517.8","517.8","517.8","517.8","517.8","517.8","517.8","517.8","517.8","517.8","517.8","517.8","517.8","517.8","517.8","516.6","516.6","516.6","516.6","516.6","516.6","516.6","516.6","516.6","516.6","516.6","516.6","516.6","516.6","516.6","516.6","516.6","516.6","516.6","516.6","516.6","516.6","516.6","516.6","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8","480.8"
"1995:Q4","526.8","526.8","526.8","526.8","526.8","526.8","526.8","526.8","526.8","526.8","526.8","526.8","526.8","526.8","526.8","526.8","526.8","526.8","526.8","525.5","525.5","525.5","525.5","525.5","525.5","525.5","525.5","525.5","525.5","525.5","525.5","525.5","525.5","525.5","525.5","525.5","525.5","525.5","525.5","525.5","525.5","525.5","525.5","489.1","489.1","489.1","489.1","489.1","489.1","489.1","489.1","489.1","489.1","489.1","489.1","489.1","489.1","489.1","489.1","489.1","489.1","489.1","489.1","489.1","489.1","489.1","489.1","489.1","489.1","489.1","489.1"
"1996:Q1","532.5","532.5","532.5","532.5","532.5","532.5","532.5","532.5","532.5","532.5","532.5","532.5","532.5","532.5","532.5","532.5","532.5","532.5","532.5","531.2","531.2","531.2","531.2","531.2","531.2","531.2","531.2","531.2","531.2","531.2","531.2","531.2","531.2","531.2","531.2","531.2","531.2","531.2","531.2","531.2","531.2","531.2","531.2","494.4","494.4","494.4","494.4","494.4","494.4","494.4","494.4","494.4","494.4","494.4","494.4","494.4","494.4","494.4","494.4","494.4","494.4","494.4","494.4","494.4","494.4","494.4","494.4","494.4","494.4","494.4","494.4"
"1996:Q2","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","548.1","548.1","548.1","548.1","548.1","548.1","548.1","548.1","548.1","548.1","548.1","548.1","548.1","548.1","548.1","548.1","548.1","548.1","548.1","548.1","548.1","548.1","548.1","548.1","510.1","510.1","510.1","510.1","510.1","510.1","510.1","510.1","510.1","510.1","510.1","510.1","510.1","510.1","510.1","510.1","510.1","510.1","510.1","510.1","510.1","510.1","510.1","510.1","510.1","510.1","510.1","510.1"
"1996:Q3","553.3","553.3","553.3","553.3","553.3","553.3","553.3","553.3","553.3","553.3","553.3","553.3","553.3","553.3","553.3","553.3","553.3","553.3","553.3","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8"
"1996:Q4","564.1","564.1","564.1","564.1","564.1","564.1","564.1","564.1","564.1","564.1","564.1","564.1","564.1","564.1","564.1","564.1","564.1","564.1","564.1","562.8","562.8","562.8","562.8","562.8","562.8","562.8","562.8","562.8","562.8","562.8","562.8","562.8","562.8","562.8","562.8","562.8","562.8","562.8","562.8","562.8","562.8","562.8","562.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8"
"1997:Q1","579.4","579.4","579.4","579.4","579.4","579.4","579.4","579.4","579.4","579.4","579.4","579.4","579.4","579.4","579.4","579.4","579.4","579.4","579.4","578.1","578.1","578.1","578.1","578.1","578.1","578.1","578.1","578.1","578.1","578.1","578.1","578.1","578.1","578.1","578.1","578.1","578.1","578.1","578.1","578.1","578.1","578.1","578.1","538.0","538.0","538.0","538.0","538.0","538.0","538.0","538.0","538.0","538.0","538.0","538.0","538.0","538.0","538.0","538.0","538.0","538.0","538.0","538.0","538.0","538.0","538.0","538.0","538.0","538.0","538.0","538.0"
"1997:Q2","577.5","577.5","577.5","577.5","577.5","577.5","577.5","577.5","577.5","577.5","577.5","577.5","577.5","577.5","577.5","577.5","577.5","577.5","577.5","576.2","576.2","576.2","576.2","576.2","576.2","576.2","576.2","576.2","576.2","576.2","576.2","576.2","576.2","576.2","576.2","576.2","576.2","576.2","576.2","576.2","576.2","576.2","576.2","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3"
"1997:Q3","603.3","603.3","603.3","603.3","603.3","603.3","603.3","603.3","603.3","603.3","603.3","603.3","603.3","603.3","603.3","603.3","603.3","603.3","603.3","601.9","601.9","601.9","601.9","601.9","601.9","601.9","601.9","601.9","601.9","601.9","601.9","601.9","601.9","601.9","601.9","601.9","601.9","601.9","601.9","601.9","601.9","601.9","601.9","560.1","560.1","560.1","560.1","560.1","560.1","560.1","560.1","560.1","560.1","560.1","560.1","560.1","560.1","560.1","560.1","560.1","560.1","560.1","560.1","560.1","560.1","560.1","560.1","560.1","560.1","560.1","560.1"
"1997:Q4","618.7","618.7","618.7","618.7","618.7","618.7","618.7","618.7","618.7","618.7","618.7","618.7","618.7","618.7","618.7","618.7","618.7","618.7","618.7","617.2","617.2","617.2","617.2","617.2","617.2","617.2","617.2","617.2","617.2","617.2","617.2","617.2","617.2","617.2","617.2","617.2","617.2","617.2","617.2","617.2","617.2","617.2","617.2","574.4","574.4","574.4","574.4","574.4","574.4","574.4","574.4","574.4","574.4","574.4","574.4","574.4","574.4","574.4","574.4","574.4","574.4","574.4","574.4","574.4","574.4","574.4","574.4","574.4","574.4","574.4","574.4"
"1998:Q1","623.9","623.9","623.9","623.9","623.9","623.9","623.9","623.9","623.9","623.9","623.9","623.9","623.9","623.9","623.9","623.9","623.9","623.9","623.9","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","579.1","579.1","579.1","579.1","579.1","579.1","579.1","579.1","579.1","579.1","579.1","579.1","579.1","579.1","579.1","579.1","579.1","579.1","579.1","579.1","579.1","579.1","579.1","579.1","579.1","579.1","579.1","579.1"
"1998:Q2","655.7","655.7","655.7","655.7","655.7","655.7","655.7","655.7","655.7","655.7","655.7","655.7","655.7","655.7","655.7","655.7","655.7","655.7","655.7","654.1","654.1","654.1","654.1","654.1","654.1","654.1","654.1","654.1","654.1","654.1","654.1","654.1","654.1","654.1","654.1","654.1","654.1","654.1","654.1","654.1","654.1","654.1","654.1","608.3","608.3","608.3","608.3","608.3","608.3","608.3","608.3","608.3","608.3","608.3","608.3","608.3","608.3","608.3","608.3","608.3","608.3","608.3","608.3","608.3","608.3","608.3","608.3","608.3","608.3","608.3","608.3"
"1998:Q3","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","673.0","673.0","673.0","673.0","673.0","673.0","673.0","673.0","673.0","673.0","673.0","673.0","673.0","673.0","673.0","673.0","673.0","673.0","673.0","673.0","673.0","673.0","673.0","673.0","625.6","625.6","625.6","625.6","625.6","625.6","625.6","625.6","625.6","625.6","625.6","625.6","625.6","625.6","625.6","625.6","625.6","625.6","625.6","625.6","625.6","625.6","625.6","625.6","625.6","625.6","625.6","625.6"
"1998:Q4","714.6","714.6","714.6","714.6","714.6","714.6","714.6","714.6","714.6","714.6","714.6","714.6","714.6","714.6","714.6","714.6","714.6","714.6","714.6","713.0","713.0","713.0","713.0","713.0","713.0","713.0","713.0","713.0","713.0","713.0","713.0","713.0","713.0","713.0","713.0","713.0","713.0","713.0","713.0","713.0","713.0","713.0","713.0","662.6","662.6","662.6","662.6","662.6","662.6","662.6","662.6","662.6","662.6","662.6","662.6","662.6","662.6","662.6","662.6","662.6","662.6","662.6","662.6","662.6","662.6","662.6","662.6","662.6","662.6","662.6","662.6"
"1999:Q1","716.4","716.4","716.4","716.4","716.4","716.4","716.4","716.4","716.4","716.4","716.4","716.4","716.4","716.4","716.4","716.4","716.4","716.4","716.4","714.7","714.7","714.7","714.7","714.7","714.7","714.7","714.7","714.7","714.7","714.7","714.7","714.7","714.7","714.7","714.7","714.7","714.7","714.7","714.7","714.7","714.7","714.7","714.7","664.0","664.0","664.0","664.0","664.0","664.0","664.0","664.0","664.0","664.0","664.0","664.0","664.0","664.0","664.0","664.0","664.0","664.0","664.0","664.0","664.0","664.0","664.0","664.0","664.0","664.0","664.0","664.0"
"1999:Q2","750.9","750.9","750.9","750.9","750.9","750.9","750.9","750.9","750.9","750.9","750.9","750.9","750.9","750.9","750.9","750.9","750.9","750.9","750.9","749.1","749.1","749.1","749.1","749.1","749.1","749.1","749.1","749.1","749.1","749.1","749.1","749.1","749.1","749.1","749.1","749.1","749.1","749.1","749.1","749.1","749.1","749.1","749.1","695.8","695.8","695.8","695.8","695.8","695.8","695.8","695.8","695.8","695.8","695.8","695.8","695.8","695.8","695.8","695.8","695.8","695.8","695.8","695.8","695.8","695.8","695.8","695.8","695.8","695.8","695.8","695.8"
"1999:Q3","769.1","769.1","769.1","769.1","769.1","769.1","769.1","769.1","769.1","769.1","769.1","769.1","769.1","769.1","769.1","769.1","769.1","769.1","769.1","767.4","767.4","767.4","767.4","767.4","767.4","767.4","767.4","767.4","767.4","767.4","767.4","767.4","767.4","767.4","767.4","767.4","767.4","767.4","767.4","767.4","767.4","767.4","767.4","712.5","712.5","712.5","712.5","712.5","712.5","712.5","712.5","712.5","712.5","712.5","712.5","712.5","712.5","712.5","712.5","712.5","712.5","712.5","712.5","712.5","712.5","712.5","712.5","712.5","712.5","712.5","712.5"
"1999:Q4","778.7","778.7","778.7","778.7","778.7","778.7","778.7","778.7","778.7","778.7","778.7","778.7","778.7","778.7","778.7","778.7","778.7","778.7","778.7","776.9","776.9","776.9","776.9","776.9","776.9","776.9","776.9","776.9","776.9","776.9","776.9","776.9","776.9","776.9","776.9","776.9","776.9","776.9","776.9","776.9","776.9","776.9","776.9","721.0","721.0","721.0","721.0","721.0","721.0","721.0","721.0","721.0","721.0","721.0","721.0","721.0","721.0","721.0","721.0","721.0","721.0","721.0","721.0","721.0","721.0","721.0","721.0","721.0","721.0","721.0","721.0"
"2000:Q1","822.5","822.5","822.5","822.5","822.5","822.5","822.5","822.5","822.5","822.5","822.5","822.5","822.5","822.5","822.5","822.5","822.5","822.5","822.5","820.6","820.6","820.6","820.6","820.6","820.6","820.6","820.6","820.6","820.6","820.6","820.6","820.6","820.6","820.6","820.6","820.6","820.6","820.6","820.6","820.6","820.6","820.6","820.6","761.2","761.2","761.2","761.2","761.2","761.2","761.2","761.2","761.2","761.2","761.2","761.2","761.2","761.2","761.2","761.2","761.2","761.2","761.2","761.2","761.2","761.2","761.2","761.2","761.2","761.2","761.2","761.2"
"2000:Q2","807.7","807.7","807.7","807.7","807.7","807.7","807.7","807.7","807.7","807.7","807.7","807.7","807.7","807.7","807.7","807.7","807.7","807.7","807.7","805.8","805.8","805.8","805.8","805.8","805.8","805.8","805.8","805.8","805.8","805.8","805.8","805.8","805.8","805.8","805.8","805.8","805.8","805.8","805.8","805.8","805.8","805.8","805.8","747.2","747.2","747.2","747.2","747.2","747.2","747.2","747.2","747.2","747.2","747.2","747.2","747.2","747.2","747.2","747.2","747.2","747.2","747.2","747.2","747.2","747.2","747.2","747.2","747.2","747.2","747.2","747.2"
"2000:Q3","821.7","821.7","821.7","821.7","821.7","821.7","821.7","821.7","821.7","821.7","821.7","821.7","821.7","821.7","821.7","821.7","821.7","821.7","821.7","819.8","819.8","819.8","819.8","819.8","819.8","819.8","819.8","819.8","819.8","819.8","819.8","819.8","819.8","819.8","819.8","819.8","819.8","819.8","819.8","819.8","819.8","819.8","819.8","759.8","759.8","759.8","759.8","759.8","759.8","759.8","759.8","759.8","759.8","759.8","759.8","759.8","759.8","759.8","759.8","759.8","759.8","759.8","759.8","759.8","759.8","759.8","759.8","759.8","759.8","759.8","759.8"
"2000:Q4","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","825.8","825.8","825.8","825.8","825.8","825.8","825.8","825.8","825.8","825.8","825.8","825.8","825.8","825.8","825.8","825.8","825.8","825.8","825.8","825.8","825.8","825.8","825.8","825.8","765.1","765.1","765.1","765.1","765.1","765.1","765.1","765.1","765.1","765.1","765.1","765.1","765.1","765.1","765.1","765.1","765.1","765.1","765.1","765.1","765.1","765.1","765.1","765.1","765.1","765.1","765.1","765.1"
"2001:Q1","841.8","841.8","841.8","841.8","841.8","841.8","841.8","841.8","841.8","841.8","841.8","841.8","841.8","841.8","841.8","841.8","841.8","841.8","841.8","839.8","839.8","839.8","839.8","839.8","839.8","839.8","839.8","839.8","839.8","839.8","839.8","839.8","839.8","839.8","839.8","839.8","839.8","839.8","839.8","839.8","839.8","839.8","839.8","777.7","777.7","777.7","777.7","777.7","777.7","777.7","777.7","777.7","777.7","777.7","777.7","777.7","777.7","777.7","777.7","777.7","777.7","777.7","777.7","777.7","777.7","777.7","777.7","777.7","777.7","777.7","777.7"
"2001:Q2","841.3","841.3","841.3","841.3","841.3","841.3","841.3","841.3","841.3","841.3","841.3","841.3","841.3","841.3","841.3","841.3","841.3","841.3","841.3","839.4","839.4","839.4","839.4","839.4","839.4","839.4","839.4","839.4","839.4","839.4","839.4","839.4","839.4","839.4","839.4","839.4","839.4","839.4","839.4","839.4","839.4","839.4","839.4","777.0","777.0","777.0","777.0","777.0","777.0","777.0","777.0","777.0","777.0","777.0","777.0","777.0","777.0","777.0","777.0","777.0","777.0","777.0","777.0","777.0","777.0","777.0","777.0","777.0","777.0","777.0","777.0"
"2001:Q3","851.5","851.5","851.5","851.5","851.5","851.5","851.5","851.5","851.5","851.5","851.5","851.5","851.5","851.5","851.5","851.5","851.5","851.5","851.5","849.5","849.5","849.5","849.5","849.5","849.5","849.5","849.5","849.5","849.5","849.5","849.5","849.5","849.5","849.5","849.5","849.5","849.5","849.5","849.5","849.5","849.5","849.5","849.5","785.9","785.9","785.9","785.9","785.9","785.9","785.9","785.9","785.9","785.9","785.9","785.9","785.9","785.9","785.9","785.9","785.9","785.9","785.9","785.9","785.9","785.9","785.9","785.9","785.9","785.9","785.9","785.9"
"2001:Q4","923.1","923.1","923.1","923.1","923.1","923.1","923.1","923.1","923.1","923.1","923.1","923.1","923.1","923.1","923.1","923.1","923.1","923.1","923.1","920.9","920.9","920.9","920.9","920.9","920.9","920.9","920.9","920.9","920.9","920.9","920.9","920.9","920.9","920.9","920.9","920.9","920.9","920.9","920.9","920.9","920.9","920.9","920.9","851.4","851.4","851.4","851.4","851.4","851.4","851.4","851.4","851.4","851.4","851.4","851.4","851.4","851.4","851.4","851.4","851.4","851.4","851.4","851.4","851.4","851.4","851.4","851.4","851.4","851.4","851.4","851.4"
"2002:Q1","912.5","912.5","912.5","912.5","912.5","912.5","912.5","912.5","912.5","912.5","912.5","912.5","912.5","912.5","912.5","912.5","912.5","912.5","912.5","910.4","910.4","910.4","910.4","910.4","910.4","910.4","910.4","910.4","910.4","910.4","910.4","910.4","910.4","910.4","910.4","910.4","910.4","910.4","910.4","910.4","910.4","910.4","910.4","841.0","841.0","841.0","841.0","841.0","841.0","841.0","841.0","841.0","841.0","841.0","841.0","841.0","841.0","841.0","841.0","841.0","841.0","841.0","841.0","841.0","841.0","841.0","841.0","841.0","841.0","841.0","841.0"
"2002:Q2","922.1","922.1","922.1","922.1","922.1","922.1","922.1","922.1","922.1","922.1","922.1","922.1","922.1","922.1","922.1","922.1","922.1","922.1","922.1","919.9","919.9","919.9","919.9","919.9","919.9","919.9","919.9","919.9","919.9","919.9","919.9","919.9","919.9","919.9","919.9","919.9","919.9","919.9","919.9","919.9","919.9","919.9","919.9","849.2","849.2","849.2","849.2","849.2","849.2","849.2","849.2","849.2","849.2","849.2","849.2","849.2","849.2","849.2","849.2","849.2","849.2","849.2","849.2","849.2","849.2","849.2","849.2","849.2","849.2","849.2","849.2"
"2002:Q3","949.1","949.1","949.1","949.1","949.1","949.1","949.1","949.1","949.1","949.1","949.1","949.1","949.1","949.1","949.1","949.1","949.1","949.1","949.1","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","874.1","874.1","874.1","874.1","874.1","874.1","874.1","874.1","874.1","874.1","874.1","874.1","874.1","874.1","874.1","874.1","874.1","874.1","874.1","874.1","874.1","874.1","874.1","874.1","874.1","874.1","874.1","874.1"
"2002:Q4","936.6","936.6","936.6","936.6","936.6","936.6","936.6","936.6","936.6","936.6","936.6","936.6","936.6","936.6","936.6","936.6","936.6","936.6","936.6","934.4","934.4","934.4","934.4","934.4","934.4","934.4","934.4","934.4","934.4","934.4","934.4","934.4","934.4","934.4","934.4","934.4","934.4","934.4","934.4","934.4","934.4","934.4","934.4","862.0","862.0","862.0","862.0","862.0","862.0","862.0","862.0","862.0","862.0","862.0","862.0","862.0","862.0","862.0","862.0","862.0","862.0","862.0","862.0","862.0","862.0","862.0","862.0","862.0","862.0","862.0","862.0"
"2003:Q1","937.5","937.5","937.5","937.5","937.5","937.5","937.5","937.5","937.5","937.5","937.5","937.5","937.5","937.5","937.5","937.5","937.5","937.5","937.5","937.2","937.2","937.2","937.2","937.2","937.2","937.2","937.2","937.2","937.2","937.2","937.2","937.2","937.2","937.2","937.2","937.2","937.2","937.2","937.2","937.2","937.2","937.2","937.2","864.7","864.7","864.7","864.7","864.7","864.7","864.7","864.7","864.7","864.7","864.7","864.7","864.7","864.7","864.7","864.7","864.7","864.7","864.7","864.7","864.7","864.7","864.7","864.7","864.7","864.7","864.7","864.7"
"2003:Q2","974.1","974.1","974.1","974.1","974.1","974.1","974.1","974.1","974.1","974.1","974.1","974.1","974.1","974.1","974.1","974.1","974.1","974.1","974.1","975.9","975.9","975.9","975.9","975.9","975.9","975.9","975.9","975.9","975.9","975.9","975.9","975.9","975.9","975.9","975.9","975.9","975.9","975.9","975.9","975.9","975.9","975.9","975.9","904.4","904.4","904.4","904.4","904.4","904.4","904.4","904.4","904.4","904.4","904.4","904.4","904.4","904.4","904.4","904.4","904.4","904.4","904.4","904.4","904.4","904.4","904.4","904.4","904.4","904.4","904.4","904.4"
"2003:Q3","1013.2","1013.2","1013.2","1013.2","1013.2","1013.2","1013.2","1013.2","1013.2","1013.2","1013.2","1013.2","1013.2","1013.2","1013.2","1013.2","1013.2","1013.2","1013.2","1016.9","1016.9","1016.9","1016.9","1016.9","1016.9","1016.9","1016.9","1016.9","1016.9","1016.9","1016.9","1016.9","1016.9","1016.9","1016.9","1016.9","1016.9","1016.9","1016.9","1016.9","1016.9","1016.9","1016.9","944.7","944.7","944.7","944.7","944.7","944.7","944.7","944.7","944.7","944.7","944.7","944.7","944.7","944.7","944.7","944.7","944.7","944.7","944.7","944.7","944.7","944.7","944.7","944.7","944.7","944.7","944.7","944.7"
"2003:Q4","1019.8","1019.8","1019.8","1019.8","1019.8","1019.8","1019.8","1019.8","1019.8","1019.8","1019.8","1019.8","1019.8","1019.8","1019.8","1019.8","1019.8","1019.8","1019.8","1026.5","1026.5","1026.5","1026.5","1026.5","1026.5","1026.5","1026.5","1026.5","1026.5","1026.5","1026.5","1026.5","1026.5","1026.5","1026.5","1026.5","1026.5","1026.5","1026.5","1026.5","1026.5","1026.5","1026.5","956.8","956.8","956.8","956.8","956.8","956.8","956.8","956.8","956.8","956.8","956.8","956.8","956.8","956.8","956.8","956.8","956.8","956.8","956.8","956.8","956.8","956.8","956.8","956.8","956.8","956.8","956.8","956.8"
"2004:Q1","1031.0","1031.0","1031.0","1031.0","1031.0","1031.0","1031.0","1031.0","1031.0","1031.0","1031.0","1031.0","1031.0","1031.0","1031.0","1031.0","1031.0","1031.0","1031.0","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","972.7","972.7","972.7","972.7","972.7","972.7","972.7","972.7","972.7","972.7","972.7","972.7","972.7","972.7","972.7","972.7","972.7","972.7","972.7","972.7","972.7","972.7","972.7","972.7","972.7","972.7","972.7","972.7"
"2004:Q2","1038.3","1038.3","1038.3","1038.3","1038.3","1038.3","1038.3","1038.3","1038.3","1038.3","1038.3","1038.3","1038.3","1038.3","1038.3","1038.3","1038.3","1038.3","1038.3","1047.5","1047.5","1047.5","1047.5","1047.5","1047.5","1047.5","1047.5","1047.5","1047.5","1047.5","1047.5","1047.5","1047.5","1047.5","1047.5","1047.5","1047.5","1047.5","1047.5","1047.5","1047.5","1047.5","1047.5","982.2","982.2","982.2","982.2","982.2","982.2","982.2","982.2","982.2","982.2","982.2","982.2","982.2","982.2","982.2","982.2","982.2","982.2","982.2","982.2","982.2","982.2","982.2","982.2","982.2","982.2","982.2","982.2"
